FULLBARCODE,ITEMNAME,ISWEIGHT,PRICEEX1,FLDPRICEUNIT,UNITID,UNITNAME,UNITQTYX100,FPRICEEX4,FULLDESCRIPTION,PROMONUM,DESCRIPTION,STARTDATE,STARTTIME,ENDDATE,ENDTIME,ISWEIGHTEDPROMO,ADDITIONALISCOUPON,ADDITIONALGIFTCOUNT,MINPURCHASEAMOUNT,MINQTY,MINAMOUNT,MAXQTY,DISCOUNTTYPE,DISCOUNTRATE,DISCOUNTEDPRICE,DISCOUNTEDPRICEPERUNIT,CLUBID,ADDITIONALINFO,PROMOTYPE,PROMOTYPENAME,PROMOSUBTYPE,PROMOSUBTYPENAME,LASTINLIST
0000033902102,מצית להבה גמיש 16 בת,0,1000,0,,יחידה,0,0,מצית להבה גמיש 16 בתצוגה 8528F,,,,,,,,,,,,,,,,,,,,,,,,1
0000040000227,כרעיים 50 כחול מחוזק,0,40,0,,יחידה,0,0,כרעיים 50 כחול מחוזק,,,,,,,,,,,,,,,,,,,,,,,,1
0000040084107,קינדר ביצת הפתעה,0,590,0,,יחידה,0,0,קינדר ביצת הפתעה,,,,,,,,,,,,,,,,,,,,,,,,1
0000040786179,פחית לוונבראו 500 מ,0,1090,218,12,100 מל,50000,0,פחית לוונבראו 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000041001356,בירה בקס פחיות 500 מ,0,1090,218,12,100 מל,50000,0,בירה בקס פחיות 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000041024355,בירה ביטבורגר פחית 5,0,990,198,12,100 מל,50000,0,בירה ביטבורגר פחית 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000042040613,בירה ביקס 275 מל,0,690,251,12,100 מל,27500,0,בירה ביקס 275 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000042149996,בקס בקבוק   275 מל,0,590,215,12,100 מל,27500,0,בקס בקבוק   275 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000050120000,דאב רול און ללא סימן,0,1990,0,,יחידה,0,0,דאב רול און ללא סימן,,,,,,,,,,,,,,,,,,,,,,,,1
0000050775309,בירה מילר,0,990,0,,יחידה,0,0,בירה מילר,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079014,בירה סן ברנרדוס פיור,0,1690,512,12,100 מל,33000,0,בירה סן ברנרדוס פיור 8,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079021,בירה סן ברברדוס אבט,0,1790,542,12,100 מל,33000,0,בירה סן ברברדוס אבט,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079038,בירה סן ברנרדוס טריפ,0,1690,563,12,100 מל,30000,0,בירה סן ברנרדוס טריפל,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079052,בירה ברנרדוס ויט-בר,0,1390,421,12,100 מל,33000,0,בירה ברנרדוס ויט-בר,,,,,,,,,,,,,,,,,,,,,,,,1
0000070000101,גליל ניילון לאריזה ס,0,8990,0,,יחידה,0,0,גליל ניילון לאריזה סטרץ,,,,,,,,,,,,,,,,,,,,,,,,1
0000072917688,אגוזי מגדים 45 גרם,0,400,0,,יחידה,0,0,אגוזי מגדים 45 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0000075032814,בירה קורונה 335 מל,0,1000,299,12,100 מל,33500,0,בירה קורונה 335 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000075033927,בירה קורונה 355 מל,0,890,251,12,100 מל,35500,0,בירה קורונה 355 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000080661245,יין מוסקט מוגז עדין,0,3990,532,12,100 מל,75000,0,יין מוסקט מוגז עדין מתוק קריסמיס 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000087120158,היינקן פחית 330 מל,0,690,0,,יחידה,0,0,היינקן פחית 330 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000087167016,בירה גרולש 473 מל,0,1590,336,12,100 מל,47300,0,בירה גרולש 473 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000087250510,בירה רויאל פחית,0,450,0,,יחידה,0,0,בירה רויאל פחית,,,,,,,,,,,,,,,,,,,,,,,,1
0000090034107,בירה שטיגל גולדברו,0,1090,218,12,100 מל,50000,0,בירה שטיגל גולדברו 500 מל זכוכית,1220106,בירה שטיגל 500 מ ל 2 ב 17.90,2022-03-01,00:00:00,2022-04-03,23:59:00,,,,,2,,,,,17.9,8.95,,,4,מחיר קבוע,1,רגיל,1
0000910004000,כרטיס מופע סמי הכבאי,0,10000,0,,יחידה,0,0,כרטיס מופע סמי הכבאי,,,,,,,,,,,,,,,,,,,,,,,,1
0000970253409,סיר קובאני אלומניום,0,2990,0,,יחידה,0,0,סיר קובאני אלומניום 26,,,,,,,,,,,,,,,,,,,,,,,,1
0000970253436,מיכל מים קטן,0,1990,0,,יחידה,0,0,מיכל מים קטן,,,,,,,,,,,,,,,,,,,,,,,,1
0000970253514,סיר קובאני אלומניום,0,2690,0,,יחידה,0,0,סיר קובאני אלומניום 24,,,,,,,,,,,,,,,,,,,,,,,,1
